time=1, size=10, comment=file/line, thread=Thread1
time=2, size=15, comment=file/line, thread=Thread2
time=3, size=8, comment=file/line, thread=Thread3
time=4, size=4, comment=file/line, thread=Thread1
time=5, size=12, comment=file/line, thread=Thread2
time=1, size=10, comment=file/line, thread=Thread3
time=2, size=15, comment=file/line, thread=Thread1
time=3, size=8, comment=file/line, thread=Thread2
time=4, size=4, comment=file/line, thread=Thread3
time=5, size=12, comment=file/line, thread=Thread4
time=5, size=12, comment=file/line, thread=Thread4
time=5, size=12, comment=file/line, thread=Thread4
time=5, size=12, comment=file/line, thread=Thread4
